Mean_msat10,Lower_msat10,Upper_msat10,Mean_msat20,Lower_msat20,Upper_msat20,Mean_snp2,Lower_snp2,Upper_snp2
0.229,-0.759,1,0.113,-0.837,1,0.117,-0.102,1
0.001,-0.462,0.507,-0.008,-0.558,0.462,0.029,-0.198,0.243
0.029,-0.504,0.48,0.013,-0.533,0.482,0.012,-0.179,0.212
0.055,-0.446,0.517,0.013,-0.453,0.506,0.003,-0.21,0.249
-0.013,-0.5,0.467,-0.007,-0.511,0.49,0.016,-0.264,0.306
-0.004,-0.465,0.468,0.011,-0.554,0.543,0.02,-0.315,0.391
0.037,-0.44,0.51,-0.003,-0.488,0.523,0.046,-0.14,0.212
0.016,-0.498,0.525,-0.04,-0.507,0.499,0.031,-0.182,0.278
-0.021,-0.466,0.472,0.022,-0.511,0.517,0,-0.276,0.242
0.015,-0.541,0.534,0.021,-0.566,0.593,0.01,-0.368,0.318
-0.026,-0.587,0.59,-0.04,-0.564,0.524,0.012,-0.431,0.496
0,-0.626,0.672,-0.054,-0.564,0.62,0.003,-0.592,0.523
0.042,-0.415,0.57,0.054,-0.379,0.58,0.061,-0.078,1
0.05,-0.393,0.581,-0.019,-0.561,0.571,0.037,-0.208,0.449
0.033,-0.455,0.678,-0.031,-0.494,0.642,0.012,-0.377,0.434
0.018,-0.542,0.642,-0.001,-0.594,0.635,-0.018,-0.43,0.57
0.021,-0.536,0.673,0.048,-0.584,0.759,0.032,-0.542,0.723
0.07,-0.695,0.853,0.098,-0.654,0.789,0.005,-0.616,0.819
-0.006,-0.466,1,0.036,-0.337,1,0.243,0.071,1
-0.024,-0.31,0.395,0.027,-0.319,0.327,0.022,-0.128,0.195
-0.021,-0.362,0.345,-0.028,-0.38,0.317,0.002,-0.173,0.172
-0.006,-0.324,0.335,-0.007,-0.327,0.379,0.001,-0.192,0.214
-0.009,-0.316,0.327,-0.028,-0.394,0.39,0.019,-0.203,0.285
-0.019,-0.404,0.37,0.007,-0.457,0.432,0.015,-0.256,0.426
0.015,-0.294,0.328,0.016,-0.301,0.298,0.057,-0.088,0.244
-0.024,-0.278,0.299,0.02,-0.312,0.347,0.032,-0.128,0.235
0.001,-0.359,0.328,-0.01,-0.365,0.392,0.015,-0.251,0.289
-0.034,-0.381,0.402,0.018,-0.474,0.434,0.001,-0.346,0.341
0.002,-0.485,0.437,0.018,-0.484,0.497,0.013,-0.34,0.541
0.025,-0.582,0.561,0.012,-0.55,0.602,0.015,-0.538,0.586
0.046,-0.268,0.4,0.014,-0.3,0.404,0.094,-0.032,1
0.031,-0.29,0.445,0.028,-0.307,0.46,0.039,-0.121,0.728
0.02,-0.326,0.464,0.054,-0.33,0.416,0.047,-0.33,0.445
0.073,-0.415,0.564,0.017,-0.458,0.551,0.004,-0.404,0.614
-0.035,-0.498,0.627,-0.001,-0.569,0.664,0.011,-0.506,0.728
0.06,-0.626,0.792,0.029,-0.648,0.736,0.051,-0.61,0.851
